tick,scenario,value
233,baseline,0.7796235049561387
234,baseline,0.8144866436881182
235,baseline,0.8181797925113514
236,baseline,0.8391252074368066
237,baseline,0.7961855357079528
238,baseline,0.8083372848960544
239,baseline,0.813427874732932
240,baseline,0.7719703232052719
241,baseline,0.7822178649190044
242,baseline,0.8406185362137077
243,baseline,0.7888032119386453
244,baseline,0.8190352017564133
245,baseline,0.823093681046112
246,baseline,0.8095761668163065
247,baseline,0.835197660726432
248,baseline,0.8510945768445528
249,baseline,0.8223147966024219
