run,time,country,Yprod,Export,Import,nFirm,avWage,nOccupied,avPhi,phiCountry,nBank,publicDeficit,publicDebt,avPrice,bankLoan,bankBonds,cbBonds,netWorthFirm,enteringFirm,exitingFirm,enteringFirmTradable,exitingFirmTradable,enteringBank,exitingBank,netWorthBank,nFirmTradable,nfirmNotTradable,netWorthFirmTradable,avPhiTradable,avPhiNotTradable,avPCTradable,avPCNotTradable,Saving,nCreditLink,averageFirmProfit,adjust,Ysold,Salvatage,badDebt,taxRate,G,creditCapitalInflow,creditCapitalOutflow,creditBondInflow,creditBondOutflow,ExpenditureC,disposableIncomeC,productionSoldValue,changeInventoryValue,inventoryQuantity,rDiscount,loanDemanded,averageInterestRate,inventoryValue,productionQuantity,EnterValue,innovationExpenditure,labPolicy,nWorkerDesired,whichPolicy,HI,profitRate,wageShare,xESum,xESumTradable,innovationExpenditureCorr,probInn,innSuccess,innovationExpenditureWeighted,loanReceived,xProducing,CA,PrivateSaving,diffCreditFlow,diffBondFlow
42,0,0,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.0,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.0,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.0,0,0
42,0,1,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.0,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.0,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.0,0,0
42,1,0,5.2,5.2,0,1,1.0,5.0,1.0,1.0,0,198.0,398.0,1.04,0,0,398.0,10,1,0,1,0,0,0,0,1,0,10,1.0,1.0,1.04,1.0,203.0,0,0.0,no,5.2,0,0,0.4,200.0,0,0,0,0,0,203.0,5.2,0.0,0.0,0.001,3.4800000000000004,0,0.0,5.0,10,0,no,10.0,nn,1.0,0.0,0.9615384615384615,10.4,10.4,0.0,0.0,0,0.0,0,12.48,5.2,203.2,0,0
42,1,1,5.2,0,5.2,1,1.0,5.0,1.0,1.0,0,198.0,398.0,1.04,0,0,398.0,10,1,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,1.04,192.60000000000002,0,0.0,no,5.2,0,0,0.4,200.0,0,0,0,0,10.4,203.0,5.2,0.0,0.0,0.001,3.4800000000000004,0,0.0,5.0,10,0,no,10.0,nn,1.0,0.0,0.9615384615384615,10.4,0,0.0,0.0,0,0.0,0,12.48,-5.2,192.79999999999998,0,0
