tick,scenario,value
0,policy_high,1.0
1,policy_high,1.0
2,policy_high,1.0
3,policy_high,1.0
4,policy_high,0.9999948319774374
5,policy_high,0.9667736292063174
6,policy_high,0.9469508026176503
7,policy_high,0.9122279232079924
8,policy_high,0.9162101185676045
9,policy_high,0.9060300427711635
10,policy_high,0.893042818244088
11,policy_high,0.861473928861726
12,policy_high,0.8806075182027476
13,policy_high,0.8878968891421042
14,policy_high,0.9150546957424478
15,policy_high,0.9144114097380097
16,policy_high,0.896786614776009
17,policy_high,0.8809638180667297
18,policy_high,0.8804481315458484
19,policy_high,0.9193953560971054
20,policy_high,0.904236548204455
21,policy_high,0.893845933660317
22,policy_high,0.8979621913371905
23,policy_high,0.9143327041581572
24,policy_high,0.9076780822131019
25,policy_high,0.9257455656370037
26,policy_high,0.897755679834125
27,policy_high,0.9327816150057399
28,policy_high,0.9383147333132165
29,policy_high,0.9383156641737264
30,policy_high,0.9358501322989151
31,policy_high,0.9416887418449202
32,policy_high,0.9326044439070542
33,policy_high,0.9389798539287725
34,policy_high,0.9512277621621018
35,policy_high,0.9483824026481674
36,policy_high,0.9518470847679569
37,policy_high,0.9481129100163217
38,policy_high,0.9664448569625121
39,policy_high,0.9544696598491368
40,policy_high,0.9693323551950639
41,policy_high,0.9782793284454913
42,policy_high,0.9902239906027894
43,policy_high,0.9899729870050725
44,policy_high,0.9811060657433458
45,policy_high,0.9741201061050021
46,policy_high,0.9910256713500677
47,policy_high,0.9804830544076747
48,policy_high,0.9804376954848658
49,policy_high,0.984495291926264
50,policy_high,0.9903056713987068
51,policy_high,0.982509371409329
52,policy_high,0.9815309159549026
53,policy_high,0.9843643072655155
54,policy_high,0.9917103084789587
55,policy_high,0.9937702673723248
56,policy_high,0.9968277142863067
57,policy_high,0.990609063861087
58,policy_high,0.991245716084497
59,policy_high,0.9908952115443007
60,policy_high,0.9949036977954521
61,policy_high,0.99999258456625
62,policy_high,0.9999959019333738
63,policy_high,0.9932060091540726
64,policy_high,0.9951742124718052
65,policy_high,0.9950944845262528
66,policy_high,0.9972138804225767
67,policy_high,0.9960645492327058
68,policy_high,0.9949164678194407
69,policy_high,0.9950122935072225
70,policy_high,0.9951345816135937
71,policy_high,0.9905295640940841
72,policy_high,0.9999887672415732
73,policy_high,0.9999895487537522
74,policy_high,0.9999954241422513
75,policy_high,0.9983664514368754
76,policy_high,0.99997564135113
77,policy_high,0.9999896454510697
78,policy_high,0.996315385367594
79,policy_high,0.9982283097106792
80,policy_high,0.9986373373971403
81,policy_high,0.9999884281923249
82,policy_high,0.9979076113413295
83,policy_high,0.9895295982467395
84,policy_high,0.994765554484948
85,policy_high,0.9914187550448328
86,policy_high,0.9930701255732212
87,policy_high,0.9915677074722494
88,policy_high,0.9996593586520461
89,policy_high,0.9856393279673882
90,policy_high,0.9906212346089257
91,policy_high,0.9999893050435164
92,policy_high,0.986125905031458
93,policy_high,0.9826089646701056
94,policy_high,0.9824896021992449
95,policy_high,0.9999935657699293
96,policy_high,0.9655001539322848
97,policy_high,0.9651644205358396
98,policy_high,0.9740349977098993
99,policy_high,0.9743531070940751
100,policy_high,0.9684600053456439
101,policy_high,0.9681440078881185
102,policy_high,0.9742695269814471
103,policy_high,0.9817439103738224
104,policy_high,0.9896908995857622
105,policy_high,0.9760940389524881
106,policy_high,0.9688605598302362
107,policy_high,0.966928447623785
108,policy_high,0.9534093362191265
109,policy_high,0.9371465555319985
110,policy_high,0.9251063696971136
111,policy_high,0.9185942292067305
112,policy_high,0.9113538485907399
113,policy_high,0.9048259367813618
114,policy_high,0.9059957886756713
115,policy_high,0.8832111137455162
116,policy_high,0.8845651785285784
117,policy_high,0.8829009328644069
118,policy_high,0.883721800939278
