tick,scenario,value
30,baseline,0.05898723225286241
31,baseline,0.059319892953052726
32,baseline,0.06056235883903082
33,baseline,0.06013170564284204
34,baseline,0.06137791159630246
35,baseline,0.06143376054225828
36,baseline,0.06378603365101156
37,baseline,0.06558539210182752
38,baseline,0.06432461359305394
39,baseline,0.06512233456473263
40,baseline,0.06492071373433021
41,baseline,0.06748586881175772
42,baseline,0.06652826575807003
43,baseline,0.0673531794324739
44,baseline,0.06579763798310834
45,baseline,0.06784430847827556
46,baseline,0.06474585012541605
47,baseline,0.06264297359414711
48,baseline,0.059264191040462606
49,baseline,0.058645301582167894
50,baseline,0.05612061446377254
51,baseline,0.05371073294395822
52,baseline,0.05439711753138393
53,baseline,0.05374023426727254
54,baseline,0.05601860601347035
55,baseline,0.0557531672972699
56,baseline,0.05673846764696688
57,baseline,0.05876437324035149
58,baseline,0.059619643832172296
59,baseline,0.061462065698716394
60,baseline,0.05951577340335073
61,baseline,0.05776200684439673
62,baseline,0.0582473478780216
63,baseline,0.05824957518103397
64,baseline,0.0612605015083982
65,baseline,0.06245895131439559
66,baseline,0.0637200983210219
67,baseline,0.06111086351588334
68,baseline,0.06042661786823439
69,baseline,0.06209222917451575
70,baseline,0.06392061460219464
71,baseline,0.06583419283777327
72,baseline,0.06893042305424645
73,baseline,0.06748127244216844
74,baseline,0.06857840663887027
75,baseline,0.07105431524279592
76,baseline,0.07204386870874858
77,baseline,0.07645944714598754
78,baseline,0.07360755549657373
79,baseline,0.07443640433806067
80,baseline,0.07881182057001794
81,baseline,0.08015996273647694
82,baseline,0.08548521311399686
83,baseline,0.08655294819021084
84,baseline,0.08544267948713664
85,baseline,0.08844728196871711
86,baseline,0.0924505309280181
87,baseline,0.09629737159127735
88,baseline,0.09136143059134405
89,baseline,0.09597493544289656
90,baseline,0.09587765730342453
91,baseline,0.09672873996818343
92,baseline,0.09970940061932711
93,baseline,0.09723114240950319
94,baseline,0.09349820238511508
95,baseline,0.08926796766923778
96,baseline,0.08299732426291806
97,baseline,0.08477986017030387
98,baseline,0.0864840494054781
99,baseline,0.077268470062803
100,baseline,0.08672650253717948
101,baseline,0.07499094694577652
102,baseline,0.07413212381044156
103,baseline,0.07083172415696619
104,baseline,0.06759499696804157
105,baseline,0.06692168961876553
106,baseline,0.06759237051824195
107,baseline,0.07152737144159994
108,baseline,0.06962767700232711
109,baseline,0.06345240883973984
110,baseline,0.06331587842432974
111,baseline,0.06852146220254411
112,baseline,0.06090345015123793
113,baseline,0.05902255761289455
114,baseline,0.056657932229550664
115,baseline,0.05693481824542641
116,baseline,0.0593683575956412
117,baseline,0.06106154977012895
118,baseline,0.06327387143242427
119,baseline,0.061643717936270416
120,baseline,0.06280911127688366
121,baseline,0.06265724538190588
122,baseline,0.06782081664111148
123,baseline,0.07112661646986916
124,baseline,0.0767425385646367
125,baseline,0.07865908061633513
126,baseline,0.07986680249995191
127,baseline,0.07989169704132378
128,baseline,0.08252805525364973
129,baseline,0.08523640925468846
130,baseline,0.08994358924814534
131,baseline,0.0894601849546896
132,baseline,0.0920382649890171
133,baseline,0.09005871766923454
134,baseline,0.09275411665506687
135,baseline,0.09092539658300816
136,baseline,0.09845528674958873
137,baseline,0.10991601650529671
138,baseline,0.11233827462733764
139,baseline,0.11483953257872243
140,baseline,0.12180714962045168
141,baseline,0.11989037907196479
142,baseline,0.12553709310624014
143,baseline,0.12885698581002866
144,baseline,0.13256178533432592
145,baseline,0.13900481581606788
146,baseline,0.143460078639543
147,baseline,0.1471231727380739
148,baseline,0.14812884266462759
149,baseline,0.15094351136901346
150,baseline,0.14617973039431612
151,baseline,0.14111997759183817
152,baseline,0.13904442402934247
153,baseline,0.1380181994117042
154,baseline,0.13099567364326778
155,baseline,0.1313827505512419
156,baseline,0.12670210329724446
157,baseline,0.12462187471271578
158,baseline,0.13069574803018075
159,baseline,0.13257864290288696
160,baseline,0.1402282926932182
161,baseline,0.14938752636046243
162,baseline,0.15540318130577643
163,baseline,0.1682954592882482
164,baseline,0.16702871729980678
165,baseline,0.1674470584187238
166,baseline,0.17098266943984655
167,baseline,0.18133181639475202
168,baseline,0.19018110165960275
169,baseline,0.1988953569010629
170,baseline,0.2119030751894697
171,baseline,0.22410592282512878
172,baseline,0.22445917865881976
173,baseline,0.22996609245000588
174,baseline,0.22699642737473014
175,baseline,0.2241440600024106
176,baseline,0.2337901202977352
177,baseline,0.22932085116248982
178,baseline,0.23758553331605167
179,baseline,0.24878069395344657
180,baseline,0.24809194188674505
181,baseline,0.24508791274797073
182,baseline,0.24737564845732093
183,baseline,0.24149463539032143
184,baseline,0.23414948804532162
185,baseline,0.23442127273323116
186,baseline,0.24754991639551874
187,baseline,0.25100988636592536
188,baseline,0.2410805852156337
189,baseline,0.24796935441486992
190,baseline,0.2450126556899673
191,baseline,0.2245423565184086
192,baseline,0.21741787157923595
193,baseline,0.20170891506491298
194,baseline,0.21340607928764957
195,baseline,0.2142605332069829
196,baseline,0.24705984516113913
197,baseline,0.2547931442020831
198,baseline,0.28930706636543485
199,baseline,0.22365834158231218
200,baseline,0.2138398231918101
201,baseline,0.23155274458932715
202,baseline,0.23548266528484682
203,baseline,0.24550700826689528
204,baseline,0.25893903476442587
205,baseline,0.25059891449532473
206,baseline,0.2405838152066238
207,baseline,0.25606881712490265
208,baseline,0.26328989857427326
209,baseline,0.27563222710189345
210,baseline,0.288127792551895
211,baseline,0.3040180989900744
212,baseline,0.25389030083853864
213,baseline,0.2719555747958582
214,baseline,0.2785948990888068
