run,time,country,Yprod,Export,Import,nFirm,avWage,nOccupied,avPhi,phiCountry,nBank,publicDeficit,publicDebt,avPrice,bankLoan,bankBonds,cbBonds,netWorthFirm,enteringFirm,exitingFirm,enteringFirmTradable,exitingFirmTradable,enteringBank,exitingBank,netWorthBank,nFirmTradable,nfirmNotTradable,netWorthFirmTradable,avPhiTradable,avPhiNotTradable,avPCTradable,avPCNotTradable,Saving,nCreditLink,averageFirmProfit,adjust,Ysold,Salvatage,badDebt,taxRate,G,creditCapitalInflow,creditCapitalOutflow,creditBondInflow,creditBondOutflow,ExpenditureC,disposableIncomeC,productionSoldValue,changeInventoryValue,inventoryQuantity,rDiscount,loanDemanded,averageInterestRate,inventoryValue,productionQuantity,EnterValue,innovationExpenditure,labPolicy,nWorkerDesired,whichPolicy,HI,profitRate,wageShare,xESum,xESumTradable,innovationExpenditureCorr,probInn,innSuccess,innovationExpenditureWeighted,loanReceived,xProducing,CA,PrivateSaving,diffCreditFlow,diffBondFlow
42,0,0,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.0,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.0,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.0,0,0
42,0,1,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.0,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.0,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.0,0,0
42,1,0,10.0,0,0,1,1.0,10.0,1.0,1.0,0,196.0,396.0,1.0,0,0,396.0,10,1,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,1.0,195.99999999999997,0,0.0,no,10.0,0,0,0.4,200.0,0,0,0,0,10.0,205.99999999999997,10.0,0.0,0.0,0.001,3.0,0,0.0,10.0,10,0,no,10.0,nn,1.0,0.0,1.0,10.0,0,0.0,0.0,0,0.0,0,12.0,0,195.99999999999997,0,0
42,1,1,10.0,0,0,1,1.0348866713162437,9.66289380003443,1.0,1.0,0,196.0,396.0,1.0348866713162437,0,0,396.0,10,1,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,1.0348866713162437,196.00000000000003,0,0.0,no,10.0,0,0,0.4,200.0,0,0,0,0,10.0,205.99999999999997,10.0,0.0,0.0,0.001,3.453526727111168,0,0.0,9.66289380003443,10,0,no,9.66289380003443,nn,1.0,0.0,1.0,10.0,0,0.0,0.0,0,0.0,0,12.0,0,195.99999999999997,0,0
42,2,0,20.541935481515168,7.152477466038961,0,11,1.027096774075758,20.0,1.0,1.0,1,191.78322580739393,587.7832258073939,1.0270967740757584,38.75077910269253,0,587.7832258073939,110.0,10,0,6,0,1,0,40.0,6,5,60,0,1.0,1.0217824951484231,1.029958308882785,203.2348821416079,11,0.0,no,20.541935481515168,0,0,0.40640930593623614,200.0,18.89074275333666,23.75077910269253,0,0,13.389458015476206,212.32516128890904,20.541935481515168,0.0,0.0,0.001,33.89074275333666,0.001684381260854276,0.0,20.0,140.0,0,no,143.3156769855119,nn,0.5460931153170411,0.0,1.0,110.26306415459325,60.0,0.0,0.0,0,0.0,33.89074275333666,132.3156769855119,7.163792081421585,198.94701788881548,0.011314615382623572,0
42,2,1,21.207473454308428,0,7.152477466038961,11,1.0603736727154214,20.0,1.0,1.0,1,191.51701061827663,587.5170106182767,1.0603736727154214,32.740189126460635,0,587.5170106182767,110.0,10,0,4,0,1,0,40.0,4,7,40,0,1.0,1.0,1.0603736727154214,188.00705125013062,11,0.0,no,21.207473454308428,0,0,0.4031144848302035,200.0,23.75077910269253,18.89074275333666,0,0,28.359950920347387,212.72448407258497,21.207473454308428,0.0,0.0,0.001,37.60022547581651,0.002333976004819871,0.0,20.0,140.0,0,no,143.0,nn,0.5458326377222432,0.0,1.0,110.0,40.0,0.0,0.0,0,0.0,37.60022547581651,132.0,-7.163792081421585,184.35321853685494,-0.011314615382623572,0
42,3,0,16.550228145825017,5.146944305218998,0,23,1.0343892591140638,16.0,1.0,1.0,3,193.04301952373064,780.8262453311246,1.0343892591140635,95.62920176035576,62.323038369695894,726.1684081579459,230.00480871735823,12,0,4,0,2,0,119.48803437163855,10,13,100.00212603605603,1.0,1.0,1.0325904378248323,1.0367020293430753,202.99037676137434,34,0.00034181744732941544,no,16.550228145825017,0,0,0.4140367625497332,200.0,36.01018379988314,55.27882771857374,39.04131226655623,46.70651346307339,11.40328384060602,210.11451396909393,16.550228145825017,0.0,0.0,0.010644918571183338,76.36055784166518,0.009298221576873081,0.0,16.0,200.00279477315235,0,no,301.08410380480257,nn,0.28967613596886926,0.0006574341584555418,1.0,231.7367531706688,100.0,0.0,0.0,0,0.0,76.36055784166518,278.08410380480257,5.378218700614628,198.4212382243453,0.23127439539563,0
42,3,1,21.748756745257026,0,5.146944305218998,23,1.0874378372628513,20.0,1.0048922787349652,1.0,3,190.9248804329467,778.4418910512234,1.0874378372628513,66.04366077812921,116.88550137167854,653.8911884830277,230.00441611597356,12,0,5,0,2,0,119.48824591666697,9,14,90.00186693022768,0,1.0,1.0,1.0874378372628513,189.89985092681886,34,0.00030949583866033857,no,21.748756745257026,0,0,0.4179827723749344,200.0,55.27882771857374,36.01018379988314,46.70651346307339,39.04131226655623,26.895701050476024,213.39490262000302,21.748756745257026,0.0,0.0,0.010644918571183338,85.31230469681982,0.015203551905688074,0.0,20.0,200.00344247890382,0.22179961091862652,no,299.4192638016189,nn,0.3123700575789284,0.0004448249993476706,0.9953383625270382,230.3493865013491,90.0,0.20917117863803486,0.15408546159331016,1,0.03273541510854055,85.31230469681982,276.4192638016189,-5.378218700614628,185.54666173233207,-0.23127439539563,0
42,4,0,21.18226755066074,1.7449883331640799,0,37,1.0591133775330368,20.0,1.0,1.0,4,192.7126094146868,973.5388547458117,1.059113377533037,161.92231701299107,19.489743058576984,963.8034661983536,369.441750648176,14,0,4,0,1,0,159.3185877770237,14,23,139.75624002589154,1.0,1.0,1.0591225541849232,1.0591042008811509,201.23284808090264,60,-0.0015240780669598531,no,21.18226755066074,0,0,0.42816468700488525,200.0,45.28846029542255,76.40903219456902,9.735388547458117,19.489743058576984,19.437279217496663,215.32317332381174,21.18226755066074,0.0,0.0,0.014540600572330638,130.80174511384465,0.012608113160727777,0.0,20.0,179.59881826380405,0.09290966273563167,no,485.20906245633176,nn,0.17110156053412812,-0.005314552547079303,1.0,373.5075520469431,140.0,0.0898207922375443,0.07044137885356472,0,0.013931321615069828,130.80174511384465,448.20906245633176,3.0160832219233162,195.72869263661013,0.4983055160272869,0.7727893727319497
42,4,1,22.298909600706025,0,1.7449883331640799,36,1.1149454800353011,20.0,1.0085896676574748,1.0014180492323008,4,196.0452618776255,974.4871529288492,1.1055679545625194,112.68183998800662,68.20461772318906,896.5281806945413,359.11393425821177,13,0,4,0,1,0,159.43650699329825,13,23,129.77747243218255,0,1.0048922787349652,1.0,1.1055679545625194,198.60481180265955,59,-0.0024796638972008045,no,22.298909600706025,0,0,0.42062786439750816,200.0,76.40903219456902,45.28846029542255,19.489743058576984,9.735388547458117,24.043897933870102,218.14991955231503,22.298909600706025,0.0,0.0,0.014540600572330638,143.80241188715303,0.020102793576409473,0.0,20.16964177433114,169.53322497076732,0.5561657011318794,no,468.46837832110975,nn,0.19626375744155405,-0.005358168439727207,1.0,361.9207499745651,130.0,0.5107217429310661,0.3771085821239504,0,0.07402392193028197,143.80241188715303,434.3048999694782,-3.0160832219233162,193.02917865570214,-0.4983055160272869,-0.7727893727319497
